person	organization	position	notes	g_e	wealth_rank	director	category	sector	subsector	org_rank
Alvarez / Aida M.	Wal-Mart Stores			f-L		1	Corporation	non-financial	retail	1
Breyer / James W.	Wal-Mart Stores			m-W		1	Corporation	non-financial	retail	1
Burns / Michele M.	Wal-Mart Stores			f-W		1	Corporation	non-financial	retail	1
Cash / James I. Jr.	Wal-Mart Stores			m-B		1	Corporation	non-financial	retail	1
Corbett / Roger C.	Wal-Mart Stores			m-W		1	Corporation	non-financial	retail	1
Daft / Douglas N.	Wal-Mart Stores			m-W		1	Corporation	non-financial	retail	1
Duke / Michael T.	Wal-Mart Stores			m-W		1	Corporation	non-financial	retail	1
Kroenke / Stanley	Wal-Mart Stores			m-W	92	1	Corporation	non-financial	retail	1
Penner / Gregory B.	Wal-Mart Stores			m-W		1	Corporation	non-financial	retail	1
Reinemund / Steven S.	Wal-Mart Stores			m-W		1	Corporation	non-financial	retail	1
Scott / H. Lee Jr.	Wal-Mart Stores			m-W		1	Corporation	non-financial	retail	1
Sorenson / Arne M.	Wal-Mart Stores			m-W		1	Corporation	non-financial	retail	1
Walton / Alice L.	Wal-Mart Stores			f-W	8	1	Corporation	non-financial	retail	1
Walton / Christy	Wal-Mart Stores			f-W	6	1	Corporation	non-financial	retail	1
Walton / Jim C.	Wal-Mart Stores			m-W	7	1	Corporation	non-financial	retail	1
Walton / S. Robson	Wal-Mart Stores			m-W	9	1	Corporation	non-financial	retail	1
Williams / Christopher J.	Wal-Mart Stores			m-B		1	Corporation	non-financial	retail	1
Wolf / Linda S.	Wal-Mart Stores			f-W		1	Corporation	non-financial	retail	1
Boskin / Michael J.	Exxon Mobil			m-W		1	Corporation	non-financial	energy	2
Brabeck-Letmathe / Peter	Exxon Mobil			m-W		1	Corporation	non-financial	energy	2
Faulkner / Larry R.	Exxon Mobil			m-W		1	Corporation	non-financial	energy	2
Fishman / Jay S.	Exxon Mobil			m-W		1	Corporation	non-financial	energy	2
Frazier / Kenneth C.	Exxon Mobil			m-B		1	Corporation	non-financial	energy	2
George / William W.	Exxon Mobil			m-W		1	Corporation	non-financial	energy	2
Nelson / Marilyn Carlson	Exxon Mobil			f-W	92	1	Corporation	non-financial	energy	2
Palmisano / Samuel J.	Exxon Mobil			m-W		1	Corporation	non-financial	energy	2
Reinemund / Steven S.	Exxon Mobil			m-W		1	Corporation	non-financial	energy	2
Tillerson / Rex W.	Exxon Mobil			m-W		1	Corporation	non-financial	energy	2
Whitacre / Edward E. Jr.	Exxon Mobil			m-W		1	Corporation	non-financial	energy	2
Armacost / Samuel H.	Chevron			m-W		1	Corporation	non-financial	energy	3
Deily / Linnet F.	Chevron			f-W		1	Corporation	non-financial	energy	3
Denham / Robert E.	Chevron			m-W		1	Corporation	non-financial	energy	3
Eaton / Robert J.	Chevron			m-W		1	Corporation	non-financial	energy	3
Hagel / Chuck	Chevron			m-W		1	Corporation	non-financial	energy	3
Hernandez / Enrique Jr.	Chevron			m-L		1	Corporation	non-financial	energy	3
Jenifer / Franklyn G.	Chevron			m-B		1	Corporation	non-financial	energy	3
Kirkland / George L.	Chevron			m-W		1	Corporation	non-financial	energy	3
Nunn / Samuel A.	Chevron			m-W		1	Corporation	non-financial	energy	3
Rice / Donald B.	Chevron			m-W		1	Corporation	non-financial	energy	3
Sharer / Kevin W.	Chevron			m-W		1	Corporation	non-financial	energy	3
Shoemate / Charles R.	Chevron			m-W		1	Corporation	non-financial	energy	3
Stumpf / John G.	Chevron			m-W		1	Corporation	non-financial	energy	3
Sugar / Ronald D.	Chevron			m-W		1	Corporation	non-financial	energy	3
Ware / Carl	Chevron			m-B		1	Corporation	non-financial	energy	3
Watson / John S.	Chevron			m-W		1	Corporation	non-financial	energy	3
Beattie / W. Geoffrey	General Electric			m-W		1	Corporation	non-financial	industrial	4
Cash / James I. Jr.	General Electric			m-B		1	Corporation	non-financial	industrial	4
Castell / William	General Electric			m-W		1	Corporation	non-financial	industrial	4
Fudge / Ann M.	General Electric			f-B		1	Corporation	non-financial	industrial	4
Hockfield / Susan	General Electric			f-W		1	Corporation	non-financial	industrial	4
Immelt / Jeffrey R.	General Electric			m-W		1	Corporation	non-financial	industrial	4
Jung / Andrea	General Electric			f-A		1	Corporation	non-financial	industrial	4
Lafley / Alan G.	General Electric			m-W		1	Corporation	non-financial	industrial	4
Lane / Robert W.	General Electric			m-W		1	Corporation	non-financial	industrial	4
Larsen / Ralph S.	General Electric			m-W		1	Corporation	non-financial	industrial	4
Lazarus / Rochelle B.	General Electric			f-W		1	Corporation	non-financial	industrial	4
Mulva / James J.	General Electric			m-W		1	Corporation	non-financial	industrial	4
Nunn / Samuel A.	General Electric			m-W		1	Corporation	non-financial	industrial	4
Penske / Roger S.	General Electric			m-W		1	Corporation	non-financial	industrial	4
Swieringa / Robert J.	General Electric			m-W		1	Corporation	non-financial	industrial	4
Tisch / James S.	General Electric			m-W		1	Corporation	non-financial	industrial	4
