organization	category	sector	subsector	revenue or assets	rank	location	notes
Wal-Mart Stores	Corporation	non-financial	retail	$408,214M	1		
Exxon Mobil	Corporation	non-financial	energy	$284,650M	2		
Chevron	Corporation	non-financial	energy	$163,527M	3		
General Electric	Corporation	non-financial	industrial	$156,779M	4		
Bank of America Corp.	Corporation	financial	bank	$150,450M	5		
ConocoPhillips	Corporation	non-financial	energy	$139,515M	6		
AT&T	Corporation	non-financial	media/communications	$123,018M	7		
Ford Motor	Corporation	non-financial	industrial	$118,308M	8		
J.P. Morgan Chase & Co.	Corporation	financial	bank	$115,632M	9		
Hewlett-Packard	Corporation	non-financial	technology	$114,552M	10		
Berkshire Hathaway	Corporation	non-financial	holding	$112,493M	11		
Citigroup	Corporation	financial	bank	$108,785M	12		
Verizon Communications	Corporation	non-financial	media/communications	$107,808M	13		
McKesson	Corporation	non-financial	pharmaceutical	$106,632M	14		
General Motors	Corporation	non-financial	industrial	$104,589M	15		
American International Group	Corporation	financial	insurance	$103,189M	16		
Cardinal Health	Corporation	non-financial	healthcare	$99,613M	17		
CVS Caremark	Corporation	non-financial	healthcare	$98,729M	18		
Wells Fargo	Corporation	financial	bank	$98,636M	19		
IBM	Corporation	non-financial	technology	$95,758M	20		
UnitedHealth Group	Corporation	non-financial	healthcare	$87,138M	21		
Procter & Gamble	Corporation	non-financial	consumer products	$79,697M	22		
Kroger	Corporation	non-financial	retail	$76,733M	23		
AmerisourceBergen	Corporation	non-financial	pharmaceutical	$71,789M	24		
Costco Wholesale	Corporation	non-financial	retail	$71,422M	25		
Valero Energy	Corporation	non-financial	energy	$70,035M	26		
Archer Daniels Midland	Corporation	non-financial	food/agriculture	$69,207M	27		
Boeing	Corporation	non-financial	industrial	$68,281M	28		
Home Depot	Corporation	non-financial	retail	$66,176M	29		
Target	Corporation	non-financial	retail	$65,357M	30		
Wellpoint	Corporation	non-financial	healthcare	$65,028M	31		
Walgreen	Corporation	non-financial	retail	$63,335M	32		
Johnson & Johnson	Corporation	non-financial	consumer products	$61,897M	33		
State Farm	Corporation	financial	insurance	$61,480M	34		
Medco Health Solutions	Corporation	non-financial	healthcare	$59,804M	35		
Microsoft	Corporation	non-financial	technology	$58,437M	36		
United Technologies	Corporation	non-financial	industrial	$52,920M	37		
Dell	Corporation	non-financial	technology	$52,902M	38		
Goldman Sachs Group	Corporation	financial	bank	$51,673M	39		
Pfizer	Corporation	non-financial	industrial	$50,009M	40		
Marathon Oil	Corporation	non-financial	energy	$49,403M	41		
Lowe's	Corporation	non-financial	retail	$47,220M	42		
United Parcel Service	Corporation	non-financial	transportation	$45,297M	43		
Lockheed Martin	Corporation	non-financial	industrial	$45,189M	44		
Best Buy	Corporation	non-financial	retail	$45,015M	45		
Dow Chemical	Corporation	non-financial	industrial	$44,945M	46		
Supervalu	Corporation	non-financial	retail	$44,564M	47		
Sears Holdings	Corporation	non-financial	retail	$44,043M	48		
International Assets Holding	Corporation	non-financial	holding	$43,604M	49		
PepsiCo	Corporation	non-financial	food/agriculture	$43,232M	50		
