person	organization	position	notes	g_e
Alvarez / Aida M.	Wal-Mart Stores			f-L
Breyer / James W.	Wal-Mart Stores			m-W
Burns / Michele M.	Wal-Mart Stores			f-W
Cash / James I. Jr.	Wal-Mart Stores			m-B
Corbett / Roger C.	Wal-Mart Stores			m-W
Daft / Douglas N.	Wal-Mart Stores			m-W
Duke / Michael T.	Wal-Mart Stores			m-W
Kroenke / Stanley	Wal-Mart Stores			m-W
Penner / Gregory B.	Wal-Mart Stores			m-W
Reinemund / Steven S.	Wal-Mart Stores			m-W
Scott / H. Lee Jr.	Wal-Mart Stores			m-W
Sorenson / Arne M.	Wal-Mart Stores			m-W
Walton / Alice L.	Wal-Mart Stores			f-W
Walton / Christy	Wal-Mart Stores			f-W
Walton / Jim C.	Wal-Mart Stores			m-W
Walton / S. Robson	Wal-Mart Stores			m-W
Williams / Christopher J.	Wal-Mart Stores			m-B
Wolf / Linda S.	Wal-Mart Stores			f-W
Boskin / Michael J.	Exxon Mobil			m-W
Brabeck-Letmathe / Peter	Exxon Mobil			m-W
Faulkner / Larry R.	Exxon Mobil			m-W
Fishman / Jay S.	Exxon Mobil			m-W
Frazier / Kenneth C.	Exxon Mobil			m-B
George / William W.	Exxon Mobil			m-W
Nelson / Marilyn Carlson	Exxon Mobil			f-W
Palmisano / Samuel J.	Exxon Mobil			m-W
Reinemund / Steven S.	Exxon Mobil			m-W
Tillerson / Rex W.	Exxon Mobil			m-W
Whitacre / Edward E. Jr.	Exxon Mobil			m-W
Armacost / Samuel H.	Chevron			m-W
Deily / Linnet F.	Chevron			f-W
Denham / Robert E.	Chevron			m-W
Eaton / Robert J.	Chevron			m-W
Hagel / Chuck	Chevron			m-W
Hernandez / Enrique Jr.	Chevron			m-L
Jenifer / Franklyn G.	Chevron			m-B
Kirkland / George L.	Chevron			m-W
Nunn / Samuel A.	Chevron			m-W
Rice / Donald B.	Chevron			m-W
Sharer / Kevin W.	Chevron			m-W
Shoemate / Charles R.	Chevron			m-W
Stumpf / John G.	Chevron			m-W
Sugar / Ronald D.	Chevron			m-W
Ware / Carl	Chevron			m-B
Watson / John S.	Chevron			m-W
Beattie / W. Geoffrey	General Electric			m-W
Cash / James I. Jr.	General Electric			m-B
Castell / William	General Electric			m-W
Fudge / Ann M.	General Electric			f-B
Hockfield / Susan	General Electric			f-W
Immelt / Jeffrey R.	General Electric			m-W
Jung / Andrea	General Electric			f-A
Lafley / Alan G.	General Electric			m-W
